,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
525,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis ida,Neptis ida celebensis,Neptis ida celebensis female,Lepidoptera Butterfly Nymphalidae Neptis ida celebensis female
526,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis ida,Neptis ida celebensis,Neptis ida celebensis male,Lepidoptera Butterfly Nymphalidae Neptis ida celebensis male
531,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis ilira,Neptis ilira,,Lepidoptera Butterfly Nymphalidae Neptis ilira nan nan
532,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia hordonia,Pantoporia hordonia hordonia,,Lepidoptera Butterfly Nymphalidae Pantoporia hordonia hordonia nan
533,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia hordonia,Pantoporia hordonia senthes,,Lepidoptera Butterfly Nymphalidae Pantoporia hordonia senthes nan
543,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia consimilis,Pantoporia consimilis affinis,,Lepidoptera Butterfly Nymphalidae Pantoporia consimilis affinis nan
553,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia consimilis,Pantoporia consimilis affinis,Pantoporia consimilis affinis female,Lepidoptera Butterfly Nymphalidae Pantoporia consimilis affinis female
554,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia consimilis,Pantoporia consimilis affinis,Pantoporia consimilis affinis male,Lepidoptera Butterfly Nymphalidae Pantoporia consimilis affinis male
568,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia paraka,Pantoporia paraka dahana,,Lepidoptera Butterfly Nymphalidae Pantoporia paraka dahana nan
569,Lepidoptera,Butterfly,Nymphalidae,Pantoporia,Pantoporia antara,Pantoporia antara antara,,Lepidoptera Butterfly Nymphalidae Pantoporia antara antara nan
575,Lepidoptera,Butterfly,Nymphalidae,Phaedyma,Phaedyma shepherdi,Phaedyma shepherdi,,Lepidoptera Butterfly Nymphalidae Phaedyma shepherdi nan nan
